DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,MaxFireControlTracks numeric,IsSemiactive numeric,IsDesignator numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric,IsIR numeric,NightFactor numeric
"AN/AAR-57 MAWS","","0","0","0","0","0","1900","2999","","","","","","Ultraviolet-band Missile Approach Warning System. Detects UV plume of missile exhaust and automatically cues countermeasures.","","50","50","360","-90","90","1","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","1","0","0","1","0","1","1","0","1","1"
"Apache FLIR","","0","0","0","0","0","1900","2999","","","","","","Forward looking Infrared (FLIR)","","15","3.4","280","-90","90","12","GenericSensor","0","0.5","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","0","1","1","1.2"
"AS 12 Guidance","","0","0","0","0","0","1900","2999","","","","","","","given that the missile is guided by an operator, will configure it as essentially omniscient in good conditions.","20","9","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","0","0.1"
"AS 30L Laser Seeker","","0","0","0","0","0","1900","2999","","","","","","","","10.2","2.85","30","-90","90","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","1","0","1","0","0","1","0","1"
"AVQ-12 LASER","","0","0","0","0","0","1900","2999","","","","","","PAVE SPIKE laser designator","","25","15","270","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"AVQ-26 LASER","","0","0","0","0","0","1900","2999","","","","","","PAVE TACK laser designator","","40","30","270","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"Damocles LASER","","0","0","","","","1900","2999","","","","","","Damocles laser designator pod","","40","30","270","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"DEO","","0","0","","","","1900","2999","","","","","","EO/IR","Marcos","20","15","360","-10","80","10","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","1","1","1","1","0","1","1"
"DIBC 1A","","0","0","0","0","0","1900","2999","","","","","","","no info on scan limits, or update rate, it is a 2 color scanner.  typically detects a sea skimming missile at 10km, going to assume subsonic medium missile. maximum range assigned based on ref range and 50dBsm target, optical or thermal.  Angular accuracy is 1.5mrads.","160","19.5","360","-20","25","6","GenericSensor","0","0.0859","0.0859","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","1","1"
"DIBC 2A","","0","0","0","0","0","1900","2999","","","","","","","VIGY 105 system is very similar to VAMPIR MB, but more sensitive typically detects fighters to beyond 15km, so, subsonic medium fighter has had its detection range set at 15km for this sensor.  Angular accuracy is 100 microrads. maximum range assigned based on ref range and 50dBsm target, optical or thermal.","170","24","360","-25","65","0.67","GenericSensor","0","0.00573","0.00573","75000000000000","800000000000000","6","1","1","0","0","1","1","1","1","1","1","1"
"Eyeball-1","","0","0","0","0","0","1900","2999","","","","","","Mk-1 eyeball 20/20 vision","the human eye at 20/20 can resolve 1 arc minute of detail, the E on the 20/20 line of a snell chart is 5 arc miutes in size, with three horizontal lines and 2 spaces, each of 1 arc minute in width.  1 meter at 3.43775km is equal to 1 arc minute.  however, this is straight trig, it doesn't take into account how GCB will treat this value in its formulae.  Since this could be the equivalent of just making out a dark spec in the distance, its a valid target imo.  Oddly enough, for a 0dB target, which 1m² is, the trig result matches the ref range necessary in GCB to detect with a 50% chance, or an SNR of 0.  It is important to note that few ship's lookouts are using their own unaided eyesight, it is generally boosted by optics of some sort, such as binoculars.  if we assume 20x magnification as standard fit, then we are looking for a target that at 3.43775km is equal to 1/20 of 1m², or 0.05m².  to resolve that at that range, a ref range of 12.0117 is necessary.  and this is why I have assigned it a such.  1 arc minute is 1/60 of a degree, or 0.1667°.  lookouts must relay info, and so the full angular resolution will be lost to calls of bearing, assumed to be in 5° allotments.  Assumed to be capable of accurate ranging(more than one lookout, rangefinders, etc.)","225","12.0117","360","-90","90","16","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0.5"
"Eyeball-2","","0","0","0","0","0","1900","2999","","","","","","Mk-1 eyeball 20/10 vision","equivalent to 20/10 vision.  should only be assigned to aircraft, as they generally screen for less than excellent eyesight.  20/10 eyesight allows for discrimination of a 1m² target at 6.8754km, as pilots would have to cope with unaided views(they do not get the benefit of 20x binoculars, such as the lookouts on a ship do), this entry does appear to be for weaker eyes, this definitely is not true, altho their performance in GCB will suffer as a result of not having the binoculars.  This will be offset by a higher rate of update, and in greater angular acuracy.  1 arc minute is 1/60 of a degree, or 0.1667°. this full accuracy is available to a pilot.  Asumed to be capable of estimating range to within 5%","225","6.8755","360","-90","90","4","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0.6"
"F-117 IRADS","","0","0","0","0","0","1900","2999","","","","","","IR acquisition and designation system. Forward-looking infrared, downward-looking infrared, laser designation","","20","4","220","-90","30","12","GenericSensor","0","0.5","90","75000000000000","800000000000000","6","1","1","2","0","1","1","1","0","1","1","1.2"
"FLIR-15","","0","0","0","0","0","1900","2999","","","","","","Forward looking infrared (FLIR)","","15","3.4","280","-90","90","12","GenericSensor","0","0.5","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","1","1.2"
"Galiflir FLIR","","0","0","0","0","0","1900","2999","","","","","","Galiflir Forward Looking Infra-Red (FLIR)","The Naval Institute guide WNWS 97-98 can detect destroyer at 39 NM and identify it at 15 NM. If typical 'optical cross section' is 1000 m^2 for destroyer then reference range is 39 NM / sqrt(1000) = 1.2 NM or 2.3 km.","100","2.3","120","-90","90","12","GenericSensor","0","0.5","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","1","1"
"FIM-92 IR Seeker","","0","0","0","0","0","1900","2999","","","","","","IR seeker for Stinger missile","","4.2","3.1","30","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","1","0","1","1"
"FireStreak IR Seeker","","0","0","0","0","0","1900","2999","","","","","","","","8.5","1.85","40","-40","40","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","1","0","1","1"
"GATEKEEPER","","0","0","","","","1900","2999","","","","","","Passive electro-optical sensor array","Marcos","30","30","360","0","90","1","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","1","0","0","1","1","1","1","1","1","1"
"GDG-775","","0","0","0","0","0","1900","2999","","","","","","Infrared surveillance sensor installed aboard a variety of Chinese surface combatants.","","30","16","270","-25","85","5","GenericSensor","0","0.03","0.03","75000000000000","800000000000000","6","1","1","1","0","1","1","1","0","0","1","1"
"Hellfire Infrared","","0","0","0","0","0","1900","2999","","","","","","Hellfire IR seeker","","8","0.98","20","-90","90","4","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","1","1"
"Igla-M Infrared","","0","0","0","0","0","1900","2999","","","","","","Igla IR seeker","","5","1","20","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"IR seeker 15km","","0","0","0","0","0","1900","2999","","","","","","","","15","8","60","-90","90","2","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","1","1"
"Ka-50A 1.75in Crusader Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","Real time?","225","7.9","360","-90","-50.175","36.53","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-50A 1.75in Vigi Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 1.75in, and is mounted at a 90° depression angle, this camera station has 60% overlap, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 78.965°.  nominal scan rate for no overlap would be 100.95seconds, 60% overlap is then 40.38s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 13.1 for the 1.75in focal length, assuming equivalent film is used.","225","13.1","360","-90","-50.175","40.38","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-50A 12in Vigi Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 12in, and is mounted at a 90° depression angle, this camera station has 20% overlap in high altitude mode, and a 60% overlap in low altitude mode, going to work with 40% across the board, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 36.79°.  nominal scan rate for no overlap would be 14.72seconds, 40% overlap is then 8.83s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 46.5 for the 12in focal length, assuming equivalent film is used.","225","46.5","360","-90","-71.605","23.56","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-50A 3in Crusader Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","","225","11.7","360","-90","-54.24","21.32","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-50A 3in Vigi Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 3in, and is mounted at a 90° depression angle, this camera station has 60% overlap, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 71.52°.  nominal scan rate for no overlap would be 58.89seconds, 60% overlap is then 23.56s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 19.5 for the 3in focal length, assuming equivalent film is used.","225","19.5","360","-90","-54.24","23.56","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-50A 6in Crusader Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","","225","19","360","-90","-61.885","21.32","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-50A 6in Vigi Photo-2","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 6in, and is mounted at a 90° depression angle, this camera station has 20% overlap in high altitude mode, and a 60% overlap in low altitude mode, going to work with 40% across the board, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 56.23°.  nominal scan rate for no overlap would be 29.44seconds, 40% overlap is then 17.67s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 30.75 for the 6in focal length, assuming equivalent film is used.","225","30.75","360","-90","-61.885","23.56","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"KA-51 6in Crusader Photo-1","","0","0","0","0","0","1900","2999","","","","","","Film camera system","Was this real time?","225","19","56.2","-44.1","12.1","13.32","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"KA-51 6in Vigi Photo-1","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 6in, and is mounted at a 16° depression angle, this camera station has 50% overlap, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 56.2°.  nominal scan rate for no overlap would be 29.4seconds, 50% overlap is then 14.72s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 30.75 for the 6in focal length, assuming equivalent film is used.","225","30.75","56.2","-44.1","12.1","14.72","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 1.75in Crusader Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","","225","7.9","78.965","-59.2325","19.7325","36.53","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 1.75in Vigi Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 1.75in, and is mounted at a 19.75° depression angle, this camera station has 60% overlap, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 78.965°.  nominal scan rate for no overlap would be 100.95seconds, 60% overlap is then 40.38s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 13.1 for the 1.75in focal length, assuming equivalent film is used.  This camera is arranged for tri-fan coverage.","225","13.1","78.965","-59.2325","19.7325","40.38","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 12in Vigi Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 12in, and is mounted at a 90° depression angle, this camera station has 20% overlap in high altitude mode, and a 60% overlap in low altitude mode, going to work with 40% across the board, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 36.79°.  nominal scan rate for no overlap would be 14.72seconds, 40% overlap is then 8.83s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 46.5 for the 12in focal length, assuming equivalent film is used.  This camera is arranged for tri-fan coverage.","225","46.5","36.79","-70.395","-33.605","23.56","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 3in Crusader Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","","225","11.7","71.52","-55.51","16.01","21.32","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 3in Vigi Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 3in, and is mounted at a 19.75° depression angle, this camera station has 60% overlap, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 71.52°.  nominal scan rate for no overlap would be 58.89seconds, 60% overlap is then 23.56s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 19.5 for the 3in focal length, assuming equivalent film is used.  This camera is arranged for tri-fan coverage.","225","19.5","71.52","-55.51","16.01","23.56","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 6in Crusader Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","","225","19","56.23","-65.615","-9.385","21.32","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-53A 6in Vigi Photo-4","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 6in, and is mounted at a 37.5° depression angle, this camera station has 20% overlap in high altitude mode, and a 60% overlap in low altitude mode, going to work with 40% across the board, assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 56.23°.  nominal scan rate for no overlap would be 29.44seconds, 40% overlap is then 17.67s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 30.75 for the 6in focal length, assuming equivalent film is used.  This camera is arranged for tri-fan coverage.","225","30.75","56.23","-65.615","-9.385","23.56","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-58A 18in Pan Vigi Photo-3","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 18in, and is mounted at a 90° depression angle, this camera station has a 66% overlap.  assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 29.96° wide and 2.05° long.  nominal scan rate for no overlap would be  0.71 seconds, 66% overlap is then 0.24s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 58.6 for the 18in focal length, assuming equivalent film is used.  Must be mounted in fwd/aft pairs to allow proper field of view, thus verticalfield of view is half proper here.","225","58.6","29.96","-90","-88.975","0.24","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Ka-58A 3in Pan Vigi Photo-3","","0","0","0","0","0","1900","2999","","","","","","Film camera system","this camera has a focal length of 3in, and is mounted at a 90° depression angle, this camera station has a 60% overlap.  assumed to be at its peak velocity of 590m/s at an altitude of 12200m.  this results in a field of view of 73.87° wide and 12.134° long.  nominal scan rate for no overlap would be  1.69 seconds, 60% overlap is then 1.69s.  as the 12in camera is quoted to be capable of resolving a tennis ball from 40,000ft, this equates to a ref range of 19.5 for the 3in focal length, assuming equivalent film is used.  Must be mounted in fwd/aft pairs to allow proper field of view, thus verticalfield of view is half proper here.","225","19.5","73.87","-90","-83.933","1.69","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","0","0","0","1","1","1","1","0","0"
"Kh-59 TV","","0","0","0","0","0","1900","2999","","","","","","TV seeker head sensor for Kh-59 cruise missile","","40","9.6","45","-90","90","10","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","0","0.1"
"LANTIRN","","0","0","0","0","0","1900","2999","","","","","","LANTIRN FLIR and targeting pod","","50","13.751","280","-90","90","45","GenericSensor","0","0.5","90","75000000000000","800000000000000","6","1","1","1","0","1","1","1","0","1","1","1"
"Laser seeker 10km","","0","0","0","0","0","1900","2999","","","","","","Generic laser seeker 10 km range","","10","20","360","-90","90","3","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","1","0","1","0","0","1","1","1"
"Laser seeker 15km","","0","0","0","0","0","1900","2999","","","","","","Generic laser seeker 15 km range","","15","20","360","-90","90","3","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","1","0","1","1","0","1","1","1"
"Laser seeker 20km","","0","0","0","0","0","1900","2999","","","","","","Generic laser seeker 20 km range","","20","20","360","-90","90","3","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","1","0","1","1","0","1","1","1"
"Laser-10km","","0","0","0","0","0","1900","2999","","","","","","Generic laser designator 10 km range","","10","20","360","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"Laser-15km","","0","0","0","0","0","1900","2999","","","","","","Generic laser designator 15 km range","","15","15","360","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"Laser-20km","","0","0","0","0","0","1900","2999","","","","","","Generic laser designator 20 km range","","20","15","270","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"Laser-30km","","0","0","0","0","0","1900","2999","","","","","","Generic laser designator 30 km range","","20","15","270","-90","90","30","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","10","0","1","1","0","0","1","1","1"
"Litening LDP","","0","0","","","","1900","2999","","","","","","Laser designation pod","Marcos","20","15","270","-90","10","10","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","2","0","1","1","0","0","1","1","1"
"Litening-3 LDP","","0","0","","","","1900","2999","","","","","","Laser designation pod","Marcos","40","25","270","-90","10","5","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","1","5","0","1","1","0","0","0","1","1"
"MAA-1A SH","","0","0","","","","1900","2999","","","","","","IR seeker","Marcos","15","14","40","-20","20","1","GenericSensor","0","0","0","75000000000000","800000000000000","6","1","0","0","0","0","0","1","0","0","1","1"
"Maverick Infrared","","0","0","0","0","0","1900","2999","","","","","","IR seeker","","30","30","90","-90","90","10","GenericSensor","0","0","90","75000000000000","800000000000000","6","1","0","0","0","0","1","0","0","1","1","1"
